編碼,客家語,客語音標,華語詞義/例句,翻譯,備註,詞性1,詞性2,分類
1-40,止血,zhi^ fiedˊ,"止血。
例如：傷着血筋，流血流滴，愛攔緊止血較要緊。",傷到血管，血流如注，要趕快止血比較要緊。,,動詞,,1人體與醫療
1-41,門牙,munˋ ngaˋ,"門牙。
例如：阿弟正討生牙，門牙暴出來啊！",小弟弟正要長牙，門牙冒出來囉！,,名詞,,1人體與醫療
1-42,肚膁,du^ rhiam^,"腹側。
例如：佢做鐵工，肚膁遐裡得鐵刮着，直直出血。",他做鐵工，腹側那邊被鐵片刮到，血一直流。,,名詞,,1人體與醫療
1-43,燥肚渴,zauˇ du^ kodˊ,"口乾舌燥。
例如：天氣恁熱愛加啉一兜仔水，正毋會燥肚渴。",天氣這麼熱要多喝水，才不會口乾舌燥。,,形容詞,,1人體與醫療
1-44,中央指,duˇ/dungˇ ongˇ zhi^,"中指。
例如：人有五隻手指，手指公、蛇頭指、中央指、無名指佮手指尾。",人有五根手指，大拇指、食指、中指、無名指和小指。,,名詞,,1人體與醫療
1-45,打噎,da^ e,"打嗝；擬打嗝聲。
例如：阿嬰食乳了後拁佢背脊骿拍拍个，愛得佢打噎，正毋會哽着。",小嬰兒喝完奶後幫他拍一拍背，要讓他打嗝，才不會噎到。,,動詞,,1人體與醫療
1-46,哊酸,rhioˊ sonˇ,"反胃湧出胃酸。
例如：若食着毋合肚个物件會哊酸。",若是吃了不合腸胃的東西會反胃湧出胃酸。,,動詞,,1人體與醫療
1-47,發癀,fadˊ fongˋ,"傷口發炎疼痛。
例如：得鐵釘劖着頭驚傷口發癀。",被鐵釘刺傷最怕傷口發炎。,,形容詞,,1人體與醫療
1-48,發福,fadˊ fuˊ,"發胖，變得福態。
例如：你這站係毋係食忒多，有略略仔發福哦！",你最近是不是吃太多，有點發胖喔！,,動詞,,1人體與醫療
1-49,發癀,fadˊ fongˋ,"發炎紅腫。
例如：你這空嘴毋好碰着水，無即會發癀。",你這傷口別碰到水，不然就會發炎紅腫。,,動詞,,1人體與醫療
1-50,飯匙骨,pon shiˋ gudˊ,"肩胛骨。
例如：歸日打電腦个人，頭輒會飯匙骨痠疾。",整天打電腦的人，最容易肩胛骨痠痛。,,名詞,,1人體與醫療
1-51,臭脅下,chiu^ hiabˊ haˇ,"人胳肢窩下面發臭的病，即狐臭。
例如：佢生到真靚，無採有臭脅下，行偎就鼻會着。",她長得很漂亮，可惜有狐臭，走近就聞得到。,,名詞,,1人體與醫療
1-52,暈暈,hinˋ hinˋ,"暈眩的樣子。
例如：駛車行山路，歸路彎彎斡斡，人坐到暈暈。",開車走山路，整路彎彎曲曲，人都坐暈了。,,動詞,,1人體與醫療
1-53,合藥,gabˊ rhioo,"配藥。
例如：有病愛提藥單去藥局，請藥劑師合藥。",有病要拿藥單到藥局，請藥劑師配藥。,,動詞,,1人體與醫療
1-54,感着,gam^ choo,"著涼。
例如：天氣一下寒一下熱，毋堵好即會感着。",天氣冷熱變化無常，一不小心就會生病。,,動詞,,1人體與醫療
1-55,雞毛管,geˇ hmˇ guen^,"膠囊。
例如：吞雞毛管愛頭犁犁，較好吞。",吞膠囊要低著頭，比較好吞。,,名詞,,1人體與醫療
1-56,大舌,tai shedˋ,"講話結巴、口吃的樣子。
例如：佢講事會大舌，你愛較有耐心聽。",他說話會結巴，你要稍有耐心傾聽。,,名詞,,1人體與醫療
1-57,直直掣,chidˋ chidˋ cheedˊ,一直在發抖。例「驚到直直掣」、「疾到直直掣」。,"嚇得直發抖。
痛得直發抖。",,動詞,,1人體與醫療
1-58,腳彎,giooˊ bbanˇ,"腳膝蓋後方的轉彎處。
例如：中醫講，會腰骨痠軟个人，腳彎愛輒揢揢个。",中醫說，容易腰骨痠痛的人，要常常按摩膝窩。,,名詞,,1人體與醫療
1-59,腳跛跛,giooˊ bai^ bai^,"跛腳的樣子。
例如：䀴佢行路腳跛跛，原來係坐傷久，腳痺去啊。",看他走路一跛一跛的樣子，原來是坐太久，腳麻了。,,形容詞,,1人體與醫療
1-60,腳髀,giooˊ bi^,"大腿。
例如：佢个腳髀真粗，一支比會過你个兩支。",他的大腿很粗，一隻比得上你的兩隻。,,名詞,,1人體與醫療
1-61,腳脛,giooˊ guang^,"小腿。
例如：佢慣勢著長褲，腳脛長期無炙日頭，白雪雪。",他習慣穿長褲，小腿長期沒有晒太陽，非常白皙。,,名詞,,1人體與醫療
1-62,腳㬹,giooˊ zangˇ,"腳跟；腳筋為「腳㬹筋」。
例如：逐年寒天，𠊎个腳㬹遐攏會必到真嚴重。",每年冬天，我的腳跟處都會龜裂得很厲害。,,名詞,,1人體與醫療
1-63,腳囊肚,giooˊ nangˋ du^,"小腿肚。
例如：人講腳囊肚係人个第二粒心臟，愛好好保養。",人家說小腿肚是人的第二顆心臟，要好好保養。,,名詞,,1人體與醫療
1-64,腳㬹筋,giooˊ zangˇ gunˇ,"腳筋。
例如：阿哥溜雪發生意外，腳㬹筋斷去啊。",哥哥滑雪發生意外，腳筋斷掉了。,,名詞,,1人體與醫療
1-65,腳趾縫,giooˊ zhi^ pung,"腳趾縫。
例如：洗浴遐下，腳趾縫嘛愛鑪淨俐。",洗澡時，腳趾縫也要搓洗乾淨。,,名詞,,1人體與醫療
1-66,勼筋,giu^ gunˇ,"抽筋。
例如：𠊎在睡真會勼筋，毋知係少麼个營養？",我睡覺很容易抽筋，不知道是缺少什麼營養？,,動詞,,1人體與醫療
1-67,降細子,giungˇ se^ zu^ /zii^ ,"生孩子。
例如：佢真想做阿公，新婦討降細子猶真早，雞么即先供在等啊。",他很想當爺爺，媳婦生產還早得很，小雞就先養著等了。,,動詞,,1人體與醫療
1-68,禿頭,tudˊ teuˋ,"禿頭。
例如：阿怙猶吂五十歲即禿頭啊！",爸爸還沒五十歲就禿頭了！,,動詞,,1人體與醫療
1-69,痀背,guˇ bue^,"駝背，或用在指稱脊椎沒有辦法撐力。
例如：行路毋好痀背，䀴起來無精神。",走路別駝著背，看起來沒精神。,,動詞,,1人體與醫療
1-70,下身,haˇ shinˇ,"下半身或指陰部。
例如：歸日坐个做事个人，下身較會擐水。
例如：佢𨃰柵欄無細義嗄頓着下身，疾到拄毋會核。","整天坐著工作的人，下半身較容易水腫。
他跨柵欄不小心撞到陰部，痛得受不了。
",,名詞,,1人體與醫療
1-71,下𪘒,haˇ ngamˇ,"下顎，口腔的下部；下巴。
例如：阿華下𪘒个大牙蛀去，噍麼个都無法度。",阿華下顎的臼齒蛀掉，無法咀嚼任何東西。,,名詞,,1人體與醫療
1-72,屎胐頭,shi^ fudˊ teuˋ,"後臀；靠山。
例如：阿弟真瘦，屎胐頭無麼个肉。
例如：佢个事業攏係自家拚來个，哪有偎靠麼个屎胐頭？","弟弟很瘦，臀部沒什麼肉。
他的事業全是自己拼來的，哪有倚賴什麼靠山？",,名詞,,1人體與醫療
1-73,喘怦怦（氣喘喘）,chon^ penn^ penn^(ki^ chon^ chon^),"上氣不接下氣的樣子，亦可指呼吸氣若游絲。
例如：細子毋聽事，爺母氣到喘怦怦。",小孩子不聽話，父母氣得上氣不接下氣。,,形容詞,,1人體與醫療
1-74,起雞嫲皮,ki^ geˇ maˋ piˋ,"起雞皮疙瘩。
例如：一講着蛇，𠊎就會起雞嫲皮。",一說到蛇，我就會起雞皮疙瘩。,,動詞,,1人體與醫療
1-75,翕壞,hibˊ fai,"悶壞。
例如：恁熱个天氣無開冷氣，人會翕壞。",這麼熱的天氣不開冷氣，身體會悶壞。,,動詞,,1人體與醫療
1-76,翕死,hibˊ si^,"悶死、窒息而死。
例如：恁熱个天氣猶拁窗門關歇歇，會翕死哦！",這麼熱的天氣還把窗戶關得緊緊的，會悶死喔！,,動詞,,1人體與醫療
1-77,血流流,fiedˊ lauˋ lauˋ,"鮮血滿流的樣子。
例如：兩臺車相碰，泥下血流流，真得人驚。",兩臺車子相撞，地上流滿鮮血，好可怕。,,形容詞,,1人體與醫療
1-78,胸崁,hiungˇ kam^,"胸脯、胸膛。
例如：你愛加食兜，胸崁加做兜仔肉，䀴起來正毋會恁瘦弱。",你要多吃一點，胸膛多長點肉，看起來才不會這麼瘦弱。,,名詞,,1人體與醫療
1-79,此腔無此詞條,,,,,,,
1-80,流汗溚滴,lauˋ hon dabˋ di,"汗流浹背。
例如：懶尸人做事即尋衫著，食飯即拚到流汗溚滴。",懶惰鬼工作時涼得找衣服穿，吃飯時就拼得汗流浹背。,,形容詞,,1人體與醫療
1-81,醫病,rhiˇ piang,"治療疾病。
例如：陳醫生按算轉莊下開業，拁鄉親醫病。",陳醫師打算回鄉下開業，幫鄉親治病。,,動詞,,1人體與醫療
1-82,薰願,funˇ ngien^,"菸癮。
例如：正十分鐘無食薰，佢个薰願又擎起來。",才十分鐘沒抽菸，他的菸癮又犯。,,名詞,,1人體與醫療
1-83,此腔無此詞條,,,,,,,
1-84,有身妊,rhiuˇ shinˇ ngim/rhim,"懷孕，有孕在身。
例如：有身妊个人愛輒歇睏，毋好過頭勞碌。",有孕在身的人要多休息，不要太過勞累。,,動詞,,1人體與醫療
1-85,酒窟,ziu^ kudˊ,"酒窩。
例如：佢一笑，面面上个酒窟即會走出來。",他一笑，臉上的酒窩就會浮現。,,名詞,,1人體與醫療
1-86,腳脥下,giooˊ kiabˋ haˇ,"胯下。
例如：真多蚊在你个腳脥下飛啊飛討叮你，猶毋較緊走！",很多蚊子在你胯下環飛著要咬你，還不快走！,,名詞,,1人體與醫療
1-87,缺嘴,kiedˊ zhe^,"兔脣。
例如：現代人出世若係缺嘴，會用个醫。",現代人出生若是兔脣，有得醫治。,,動詞,,1人體與醫療
1-88,拳頭嫲,kunˋ teuˋ maˋ,"拳頭。
例如：抽血个時務，護理師會喊你揢拳頭嫲。",抽血的時候，護理師會叫你握拳頭。,,名詞,,1人體與醫療
1-89,虯毛个,kiuˋ hmˇ eˇ,"天生捲髮的人。
例如：𠊎生成即係虯毛个，自娘胎𠊎依即拁𠊎電好啊。",我天生就是捲髮，打從娘胎我媽媽就幫我燙好了。,,名詞,,1人體與醫療
1-90,靠溜皮,koo^ liuˇ piˋ,"擦破皮。
例如：佢个皮鞋無合腳，正著一點鐘即靠溜皮。",他的皮鞋不合腳，才穿一個鐘頭腳就磨破皮。,,動詞,,1人體與醫療
1-91,擐人,kuan nginˋ,"懷孕。
例如：𠊎新婦擐人啊，𠊎討做阿媽啊！",我媳婦懷孕了，我要當奶奶囉！,,動詞,,1人體與醫療
1-92,爛嘴,lan zhe^ ,"口腔潰爛，嘴破。
例如：𠊎這站火氣大，直直爛嘴。",我最近火氣大，一直嘴破。,,動詞,,1人體與醫療
1-93,冷底,lenˇ de^,"體質冷的特性，反之，體質熱的人會說「熱底」。
例如：冷底个人，一到寒天即手冷腳冷。",體質寒涼的人，一到冬天就手腳冰冷。,,名詞,,1人體與醫療
1-94,落胎,lau^ toiˇ,"流產。
例如：佢身體弱，擐細子毋會核，落胎幾下擺，真係苦憐。",她身體虛，懷不住孩子，流產好幾次，真是可憐。,,動詞,,1人體與醫療
1-95,力頭,lidˋ teuˋ,"力氣。
例如：佢生到矮細罔矮細，毋過力頭真大。",他長得雖然矮小，不過力氣很大。,,名詞,,1人體與醫療
1-96,此腔無此詞條,,,,,,,
1-97,溜皮,liuˇ piˋ,"擦破表皮。
例如：佢走相捎得人碰着跌倒，膝頭鑪溜皮，好得人無仰子。",他賽跑被人撞到跌倒，膝蓋擦破皮，還好人沒怎樣。,,形容詞,,1人體與醫療
1-98,老症頭,loo^ zhin^ teuˋ,"老毛病。
例如：這係老症頭啊，食藥就會用，無麼个要緊。",這是老毛病了，吃藥即可，沒什麼關係。,,名詞,,1人體與醫療
1-99,入院,ngibˋ innˇ,"住進醫院。
例如：阿伯入院手術骨竻，厥女在病院照顧。",伯父住院開刀治療骨刺，他女兒在醫院看顧。,,動詞,,1人體與醫療
1-100,鑪溜皮,lu^ liu^ piˋ,"因摩擦而破皮。
例如：阿文跌倒，手腳毋單鑪溜皮，猶直直流血。",阿文跌倒，手腳不只擦破皮，還一直流血。,,動詞,,1人體與醫療
1-101,㪐皮,ludˊ piˋ,"脫皮。
例如：上禮拜割着个傷口，討㪐皮啊，真癢。",上禮拜割到的傷口，快脫皮了，很癢。,,動詞,,1人體與醫療
1-102,毛辮,hmˇ pienˇ,髮辮子。如「䌈毛辮」。,綁辮子。,,名詞,,1人體與醫療
1-103,目珠打着,mudˊ zhiˇ da^ choo,"眼睛被異物入侵。
例如：熱天時虻歸陣在飛，騎車个時目珠打着，真疾。",夏天時小蚊蟲群飛，騎車的時候飛進眼睛，很痛。,,動詞,,1人體與醫療
1-104,目珠花花,mudˊ zhiˇ faˇ faˇ,"視力模糊，看不清楚的樣子。
例如：人老啊，毋係耳聾聾，就係目珠花花。",人老了，不是聽不清楚，就是視力模糊。,,形容詞,,1人體與醫療
1-105,摸摸罅罅,miaˇ miaˇ la la,"視力模糊，四處摸索的樣子。
例如：佢正睡醒，摸摸罅罅，尋真久正尋着便所。",他剛睡醒，視線模糊，找了好久才找到廁所。,,形容詞,,1人體與醫療
1-106,目屎,hmˊ shi^,"眼屎。
例如：阿妹晨早起床猶吂洗面，目屎真多。",妹妹早上起床還沒洗臉，眼屎很多。,,名詞,,1人體與醫療
1-107,撓着,nau^ choo,"手部或腳部扭傷。
例如：佢昨日打籃球撓着腳，行路跛啊跛，真苦憐。",他昨天打籃球扭到腳，走路一跛一跛的，真可憐。,,動詞,,1人體與醫療
1-108,乳羴,neenˇ hien^,"乳臭味。
例如：嬰仔鼻着阿依个乳羴，嘴就直直擘。",小嬰兒聞到母親的乳味，嘴巴就一直張開。,,名詞,,1人體與醫療
1-109,魚鱗痣,mˋ linˇ zhi^/gi^,"魚鱗痣。
例如：成擺人會用酸醋點魚鱗痣，毋過效果有限。",以前人會點醋治療魚鱗痣，不過效果有限。,,名詞,,1人體與醫療
1-110,牙暴暴,ngaˋ bogˋ bogˋ,"形容牙齒突出的樣子。
例如：佢牙暴暴，講事會漏風，有時務連嘴都合毋會密。",他牙齒暴暴突突的，說話會漏風，有時連嘴巴都合不攏。,,形容詞,,1人體與醫療
1-111,牙槽肉,ngaˋ cooˋ ngiuˊ,"牙齦。
例如：成過人講个「溜牙槽肉」，即係這下个「牙周病」。",從前人說的「溜牙齦肉」，就是現代的「牙周病」。,,名詞,,1人體與醫療
1-112,牙根,ngaˋ gunˇ,"牙根。
例如：先生講𠊎牙根蛀去啊，無挷莫即毋會用。",醫生說我的牙根蛀掉了，不拔掉可不行。,,名詞,,1人體與醫療
1-113,咬牙,ngauˇ ngaˋ,磨牙、咬著牙。例如「睡到咬牙」、「氣到咬牙」。,"睡到磨牙。
氣到咬牙。",,動詞,,1人體與醫療
1-114,癌症,ngamˋ zhin^,"癌症。
例如：有專家講壓力係人著着癌症个原因之一。",有專家說壓力是人罹患癌症的原因之一。,,名詞,,1人體與醫療
1-115,耳砣,ngi^ tooˋ,"耳垂。
例如：佢个耳子真大對，耳砣真賁肉。",他的耳朵很大一對，耳垂肉很厚。,,名詞,,1人體與醫療
1-116,耳聾,ngi^ lungˇ,"耳聾。
例如：無論係耳聾抑係青瞑个人，攏愛有自家趁食个能力。",無論是耳聾或是眼睛看不見的人，都要有自我謀生的能力。,,形容詞,,1人體與醫療
1-117,拆藥,caˊ rhioo,"拿藥方去中藥店配藥。
例如：阿森伯嗽幾下日啊，佢講討去藥店拆藥來食。",阿森伯咳嗽好多天了，他說要去藥房配藥來吃。,,動詞,,1人體與醫療
1-118,尿急,neeu gibˊ,"有尿意，尿急。「屎出」則代表有「便意」。
例如：尿急即愛攔緊去屙，毋好忍。",尿急就要趕緊去上廁所，不要憋著。,,形容詞,,1人體與醫療
1-119,尿袋,neeu toi,"膀胱。
例如：啉恁多茶猶毋屙尿，尿袋會砰爛去哦！",喝這麼多茶還不尿尿，膀胱會爆掉喔！,,名詞,,1人體與醫療
1-120,熱痱仔,ngiedˋ bui^ aˋ,"痱子。
例如：阿弟背脊骿生熱痱仔，阿依拁佢挲熱痱粉。",弟弟背上長痱子，媽媽幫他擦痱子粉。,,名詞,,1人體與醫療
1-121,荏荏,ngim^ ngim^,"病弱無神貌。
例如：阿慶姨正手術出來，荏荏講事無力。",阿慶姨剛手術出來，病弱無神、說話無力。,,形容詞,,1人體與醫療
1-122,人毋好,nginˋ mˋ hoo^,"生病、不舒服。
例如：阿叔婆這站人毋好，真少出來過家尞。",叔婆這陣子人不舒服，很少出來串門子。,,形容詞,,1人體與醫療
1-123,屙丁屎,ooˇ dingˇ shi^,"排硬便。
例如：阿明屙丁屎，出力屙嘛屙毋得出。",阿明排硬便，用力排也排不出來。,,動詞,,1人體與醫療
1-124,嗀出來,ogˊ chidˊ loiˋ,"腹中逆氣使東西排出。
例如：阿明毋知食着麼个無淨俐个，嗄歸下嗀出來。",阿明不知道吃了什麼不乾淨的，結果整個逆氣吐出來。,,動詞,,1人體與醫療
1-125,呸血（吐血、嘔紅）,pui^ fiedˊ (tu^ fiedˊ、eu^ fungˋ),"吐血。
例如：佢鼻血倒流嘴內底嗄呸血出來，害𠊎著驚一下。",他鼻血倒流到嘴裡吐出血來，害我嚇一跳。,,動詞,,1人體與醫療
1-126,"
鼻樑",pinn liongˋ,"鼻梁。
例如：佢得同學用球抌着鼻樑，流真多鼻血。",他被同學用球丟中鼻梁，流很多鼻血。,,名詞,,1人體與醫療
1-127,鼻塞塞,pinn sedˊ sedˊ,"本指鼻子呼吸不通暢，引申為形容人小氣、不通人情。
例如：佢做人真慷慨，你仰子會講佢鼻塞塞？",他為人很慷慨，你怎麼會說他小氣、不通人情？,,形容詞,,1人體與醫療
1-128,濞水,pinn fi^,"鼻水。
例如：佢見食着薟个物件即會直直流濞水。",他每次吃到辣的東西就會一直流鼻水。,,名詞,,1人體與醫療
1-129,呸痰,pui^ tamˋ,"吐痰。
例如：儘採呸痰真無衛生，真得人慼。",隨意吐痰很不衛生，很討人厭。,,動詞,,1人體與醫療
1-130,病丁,piang denˇ,"病夫。
例如：愛多運動，正毋會得人喊做病丁。",要多運動，才不會被人叫做病夫。,,名詞,,1人體與醫療
1-131,病症,piang zhin^,"病症。
例如：若係著着尿毒這種病症，一世人攏愛洗腰子。",若是得到腎衰竭這種病，一輩子都得洗腎。,,名詞,,1人體與醫療
1-132,㞇着,uainn^ choo,"扭傷。
例如：實在運數無好，正行出大路，腳就㞇着。",運氣實在不好，剛走出馬路，腳就扭傷。,,動詞,,1人體與醫療
1-133,破病,poo^ piang,"生病，形容體弱多病。
例如：佢破病破病，身體真弱，做麼个事攏無法度。",他病懨懨的，身體很虛弱，什麼工作都沒辦法做。,,形容詞,,1人體與醫療
1-134,破相,poo^ siong^,"破相。
例如：成過人驚破相，毋會儘採去桊耳。",以前的人怕破相，不會隨意去穿耳洞。,,形容詞,,1人體與醫療
1-135,青瞑,ciangˇ miangˇ,"失明，眼睛喪失了視覺能力。
例如：你个目珠歸日晟着手機，毋驚會舞青瞑哦？",你的眼睛整天照射著手機光線，不怕會弄瞎嗎？,,動詞,,1人體與醫療
1-136,七坐八爬,cidˊ cooˇ beedˊ paˋ,"謂小兒生長的過程，七個月能坐，八個月能爬，九個月長牙齒。
例如：七坐八爬九生牙，細子養个顧个，不知不覺即恁大漢啊。",七坐八爬九長牙，小孩養著顧著，不知不覺就這麼大了。,,名詞,,1人體與醫療
1-137,膝頭腕,cidˊ teuˋ bban^,"膝蓋骨；膝關節。
例如：伯㜷腳無好，加兩日討手術換膝頭腕。",伯母有腳疾，過幾天要手術置換膝關節。,,名詞,,1人體與醫療
1-138,喉嗹頭,heuˋ lienˋ teuˋ,"喉結。
例如：囝子轉骨啊，喉嗹頭䀴起來加較明顯。",男孩到了青春期，喉結看起來更加明顯。,,名詞,,1人體與醫療
1-139,劖着,camˋ choo,"刺到、刺傷。
例如：佢个腳得玻璃碎片劖着，流真多血。",他的腳被玻璃碎片刺傷，流很多血。,,動詞,,1人體與醫療
1-140,刺目,cagˋ hmˊ,"耀眼、礙眼。
例如：日頭光直接照个，恁刺目，討仰子䀴書？
",太陽下直射著，這麼刺眼，要怎麼看書？,,動詞,,1人體與醫療
